n_estimators,min_samples_split,max_features,accuracy,f1,roc_auc,pr_auc,matthews
200,6626,7,0.9454777028461325,0.8836382645060115,0.9880495257012374,0.9683071098664442,0.8498269339299095
300,6626,7,0.9454287160562368,0.883448420171584,0.9882696847135732,0.9687934893941803,0.849669501370219
50,5301,7,0.9476657794614719,0.8870802945425078,0.9889919903761238,0.9705354215112811,0.8557620624442729
100,5301,7,0.947894384480985,0.8878659029412799,0.9888816550526774,0.9702615370794534,0.8564278443736979
150,5301,7,0.9481556473604285,0.8884751835329657,0.9890284553121784,0.970643816377526,0.8571659754682582
200,5301,7,0.9482862788001503,0.8887874424974541,0.9890553942028548,0.9707182470802547,0.8575357342022408
300,5301,7,0.9482046341503241,0.8887017543859649,0.9892927221165866,0.9713273925799059,0.8573160706427891
50,12940,7,0.9369866592642184,0.8665029231673989,0.9831596363516298,0.956482626900833,0.8265133063125197
100,12940,7,0.9366274228049836,0.8666002131096827,0.983616740451278,0.9575587965827708,0.8259193779321012
150,12940,7,0.9367743831746705,0.8674517321648637,0.9841223131101074,0.9586391457802425,0.826612029303225
200,12940,7,0.9367907121046358,0.8672724155666038,0.9840082624994357,0.9583287502810371,0.8265410741684367
300,12940,7,0.9368723567544619,0.8671568964332348,0.9841421085461481,0.9588034328026808,0.8266168203434581
50,10352,7,0.9410852206854885,0.8749913380916083,0.9846975515421013,0.960380378404105,0.8378143271531682
100,10352,7,0.9381786711516794,0.8696370773362716,0.9850935883514544,0.9611224292836605,0.8300939266231784
150,10352,7,0.9380970265018533,0.8693524485646346,0.9851501178534012,0.9612053496027028,0.8298152310003523
200,10352,7,0.937558171813001,0.8681924720805184,0.98506759501325,0.9609082822063953,0.8283131650061005
300,10352,7,0.9371336196339054,0.8672230652503794,0.9851426268326738,0.9609620562877944,0.8271037251284719
50,8282,7,0.9421302722032625,0.8771236391373691,0.98615265533341,0.9637392555357264,0.8406876970644569
100,8282,7,0.9418036936039581,0.876413066093349,0.9864239065611783,0.9642154528404558,0.8397736547050927
150,8282,7,0.9422772325729495,0.8773804155537827,0.986482573990366,0.9645599386041075,0.8410769441290311
200,8282,7,0.9421792589931581,0.8771552471812663,0.9865359768366875,0.9646140067819402,0.8407985609188104
300,8282,7,0.9427017847520452,0.8780453897751365,0.9867080450790716,0.9651392252975814,0.8421795430519554
50,2,8,0.9923254029163469,0.9843134637207129,0.9993676333600802,0.998061329891083,0.9792464438110373
100,2,8,0.99255400793586,0.9847858000800748,0.9995194931168659,0.9983786494150912,0.9798674268271557
150,2,8,0.9926846393755817,0.9850527158681436,0.9995362849486302,0.9985431822200982,0.9802208221949207
